location,date,diet,Species,Sex,Age,15N,13C,tissue
i,8/21/2014,fruits,Artibeus_lituratus,M,A,NA,NA,membrane
i,8/21/2014,fruits,Platyrrhinus lineatus,F,A,7.93,-25.64,membrane
i,8/21/2014,fruits,Platyrrhinus lineatus,M,A,10.84,-25.33,membrane
i,8/21/2014,insects,Molossops_temminckii,F,A,10.35,-18.92,membrane
i,8/21/2014,insects,Molossus_rufus,M,A,10.11,-17.34,membrane
i,8/21/2014,insects,Molossus_rufus,M,A,10.1,-15.43,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,10.93,-16.09,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,10.5,-17.53,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,9.5,-18.15,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,9.86,-17.08,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,9.99,-16.31,membrane
i,8/21/2014,insects,Molossus_rufus,F,J,10.62,-15.19,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,9.56,-16.91,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,10.19,-15.61,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,9.63,-17.06,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,10.3,-16.99,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,10,-17.3,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,10.19,-16.75,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,9.34,-18.16,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,9.86,-16.5,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,9.44,-18.33,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,9.52,-18.24,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,9.8,-15.5,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,9.7,-16.54,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,9.78,-18.03,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,10.08,-16.32,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,9.89,-17.65,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,10.36,-15.4,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,10.28,-15.75,membrane
j,06/12/2015,fruits,Platyrrhinus lineatus,F,A,10.64,-25.94,membrane
j,06/12/2015,fruits,Platyrrhinus lineatus,F,A,9.85,-25.69,membrane
k,6/25/2015,nectar,Artibeus_planirostris,F,A,8.03,-26.11,membrane
k,6/25/2015,fruits,Molossus_molossus,F,A,10.89,-17.72,membrane
l,6/26/2015,insects,Glossophaga_soricina,M,A,12.14,-21.61,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,A,11.5,-22.62,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,J,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,F,A,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,F,A,11.07,-23.66,membrane
a,12/16/2013,insects,Molossus_molossus,M,J,9.36,-16.27,liver
a,12/16/2013,fruits,Artibeus_lituratus,M,J,NA,NA,liver
b,12/17/2013,nectar,Glossophaga_soricina,M,A,9.87,-25.85,liver
b,12/17/2013,nectar,Glossophaga_soricina,M,A,11.88,-21.25,liver
c,01/09/2014,insects,Molossus_molossus,F,J,NA,NA,liver
d,3/14/2014,nectar,Glossophaga_soricina,F,J,10,-22.9,liver
d,3/14/2014,nectar,Glossophaga_soricina,M,A,10.67,-22.1,liver
e,05/05/2014,insects,Molossus_molossus,F,A,NA,NA,liver
e,05/05/2014,insects,Molossus_molossus,F,A,10.19,-12.3,liver
f,5/22/2014,insects,Molossus_molossus,M,A,NA,NA,liver
g,05/06/2014,fruits,Artibeus_lituratus,F,A,10.49,-24.73,liver
g,05/06/2014,fruits,Artibeus_lituratus,M,A,10.65,-25.42,liver
g,05/06/2014,fruits,Artibeus_lituratus,F,A,8.77,-25.08,liver
g,05/06/2014,fruits,Sturnira_lilium,F,A,9.16,-25.22,liver
g,05/06/2014,fruits,Sturnira_lilium,M,A,8.41,-24.79,liver
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,liver
g,05/06/2014,fruits,Artibeus_lituratus,M,A,NA,NA,liver
g,05/06/2014,fruits,Artibeus_lituratus,M,A,NA,NA,liver
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,liver
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,liver
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,liver
h,6/26/2014,fruits,Artibeus_lituratus,F,A,8.49,-26.19,liver
h,6/26/2014,fruits,Artibeus_lituratus,M,A,8.82,-26.17,liver
h,6/26/2014,fruits,Artibeus_lituratus,M,A,7.35,-26.14,liver
h,6/26/2014,fruits,Artibeus_lituratus,F,A,9.8,-26.68,liver
i,8/21/2014,fruits,Artibeus_lituratus,M,A,NA,NA,liver
i,8/21/2014,fruits,Artibeus_lituratus,M,A,NA,NA,liver
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,liver
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,liver
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,liver
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,liver
i,8/21/2014,fruits,Artibeus_lituratus,M,A,NA,NA,liver
i,8/21/2014,fruits,Platyrrhinus lineatus,F,A,8.64,-25.86,liver
i,8/21/2014,fruits,Platyrrhinus lineatus,M,A,10.24,-25.77,liver
i,8/21/2014,insects,Molossops_temminckii,F,A,9.62,-19.59,liver
i,8/21/2014,insects,Molossus_rufus,M,A,8.31,-18.76,liver
i,8/21/2014,insects,Molossus_rufus,M,A,9.21,-15.67,liver
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,liver
i,8/21/2014,insects,Molossus_molossus,F,A,9.19,-18.53,liver
i,8/21/2014,insects,Molossus_molossus,M,A,8.31,-18.75,liver
i,8/21/2014,insects,Molossus_molossus,M,A,9.03,-17.37,liver
i,8/21/2014,insects,Molossus_molossus,M,A,8.97,-16.77,liver
i,8/21/2014,insects,Molossus_rufus,F,J,8.82,-15.8,liver
i,8/21/2014,insects,Molossus_molossus,M,A,8.64,-17.64,liver
i,8/21/2014,insects,Molossus_molossus,M,A,9.36,-16.43,liver
i,8/21/2014,insects,Molossus_molossus,F,A,8.99,-17.11,liver
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,liver
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,liver
i,8/21/2014,insects,Molossus_molossus,M,A,9.47,-17.35,liver
i,8/21/2014,insects,Molossus_molossus,F,A,8.33,-18.52,liver
i,8/21/2014,insects,Molossus_molossus,F,A,8.72,-17.5,liver
i,8/21/2014,insects,Molossus_molossus,F,A,8.67,-19.11,liver
i,8/21/2014,insects,Molossus_molossus,F,A,8.52,-19.56,liver
i,8/21/2014,insects,Molossus_molossus,M,A,9.59,-16.19,liver
i,8/21/2014,insects,Molossus_molossus,M,A,8.91,-17.23,liver
i,8/21/2014,insects,Molossus_molossus,F,A,8.22,-18.58,liver
i,8/21/2014,insects,Molossus_molossus,F,A,9.29,-17.56,liver
i,8/21/2014,insects,Molossus_molossus,M,A,9.14,-18.65,liver
i,8/21/2014,insects,Molossus_molossus,F,A,9.5,-15.85,liver
i,8/21/2014,insects,Molossus_molossus,F,A,9.8,-17.14,liver
j,06/12/2015,fruits,Platyrrhinus lineatus,F,A,10.75,-27.65,liver
j,06/12/2015,fruits,Platyrrhinus lineatus,F,A,10.63,-27.42,liver
k,6/25/2015,nectar,Artibeus_planirostris,F,A,8.72,-27.9,liver
k,6/25/2015,fruits,Molossus_molossus,F,A,7.55,-21.45,liver
l,6/26/2015,insects,Glossophaga_soricina,M,A,10.62,-22.93,liver
l,6/26/2015,nectar,Glossophaga_soricina,M,A,9.48,-23.9,liver
l,6/26/2015,nectar,Glossophaga_soricina,M,J,NA,NA,liver
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,liver
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,liver
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,liver
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,liver
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,liver
l,6/26/2015,nectar,Glossophaga_soricina,F,A,NA,NA,liver
